Tanggal,Jam,Vision Output Power (KW),Beam Voltage (KV),Beam Current (A),Driver FWD Power (W),Water Temp In (C),Water Temp Out (C)
2025-03-04,00:00:00,14.39,31.2,1.11,187.0,40.0,48.0
2025-03-05,02:00:00,14.42,30.96,1.11,187.0,39.0,46.0
2025-03-05,04:00:00,14.44,31.05,1.11,187.0,41.0,49.0
2025-03-05,06:00:00,14.47,31.1,1.11,188.0,41.0,48.0
2025-03-05,08:00:00,14.53,31.05,1.12,188.0,40.0,48.0
2025-03-05,10:00:00,14.46,31.08,1.1,188.0,38.0,46.0
2025-03-05,12:00:00,14.45,31.15,1.12,187.0,39.0,47.0
2025-03-05,14:00:00,14.43,31.1,1.11,188.0,42.0,50.0
2025-03-05,16:00:00,14.37,31.05,1.11,186.0,37.0,44.0
2025-03-05,18:00:00,14.26,31.15,1.11,185.0,39.0,47.0
2025-03-05,20:00:00,14.25,31.05,1.11,186.0,38.0,46.0
2025-03-05,22:00:00,14.3,31.13,1.12,186.0,36.0,44.0
2025-03-05,00:00:00,14.32,30.98,1.12,186.0,38.0,46.0
2025-03-06,02:00:00,14.39,31.03,1.12,186.0,35.0,43.0
2025-03-06,04:00:00,14.36,31.03,1.12,187.0,39.0,47.0
2025-03-06,06:00:00,14.32,30.98,1.12,187.0,41.0,48.0
2025-03-06,08:00:00,14.41,31.1,1.11,187.0,40.0,48.0
2025-03-06,10:00:00,14.4,30.93,1.12,187.0,42.0,50.0
2025-03-06,12:00:00,14.34,30.93,1.12,187.0,35.0,44.0
2025-03-06,14:00:00,14.19,31.03,1.1,185.0,36.0,44.0
2025-03-06,16:00:00,14.31,31.03,1.1,185.0,36.0,44.0
2025-03-06,18:00:00,14.1,31.05,1.1,184.0,41.0,48.0
2025-03-06,20:00:00,14.25,31.05,1.11,186.0,38.0,46.0
2025-03-06,22:00:00,14.3,31.13,1.12,186.0,36.0,44.0
2025-03-06,00:00:00,14.64,30.98,1.13,187.0,36.0,44.0
2025-03-07,02:00:00,14.63,31.05,1.13,189.0,41.0,48.0
2025-03-07,04:00:00,14.6,31.13,1.11,173.0,41.0,49.0
2025-03-07,06:00:00,14.61,31.03,1.12,189.0,40.0,48.0
2025-03-07,08:00:00,14.73,31.05,1.13,189.0,36.0,44.0
2025-03-07,10:00:00,14.69,31.05,1.12,189.0,40.0,48.0
2025-03-07,12:00:00,14.62,31.03,1.13,189.0,36.0,44.0
2025-03-07,14:00:00,14.57,31.01,1.11,188.0,35.0,44.0
2025-03-07,16:00:00,14.53,31.15,1.12,187.0,36.0,45.0
2025-03-07,18:00:00,14.57,31.03,1.12,188.0,40.0,48.0
2025-03-07,20:00:00,14.61,31.1,1.12,190.0,38.0,47.0
2025-03-07,22:00:00,14.63,31.13,1.12,189.0,36.0,44.0
2025-03-07,00:00:00,14.65,31.05,1.12,189.0,37.0,45.0
2025-03-08,02:00:00,14.85,31.05,1.13,190.0,41.0,49.0
2025-03-08,04:00:00,14.7,31.08,1.12,189.0,35.0,44.0
2025-03-08,06:00:00,14.82,31.08,1.12,189.0,34.0,42.0
2025-03-08,08:00:00,14.7,31.1,1.12,190.0,42.0,50.0
2025-03-08,10:00:00,14.67,31.08,1.13,189.0,36.0,44.0
2025-03-08,12:00:00,14.51,31.01,1.12,189.0,38.0,46.0
2025-03-08,14:00:00,14.63,31.05,1.12,188.0,36.0,44.0
2025-03-08,16:00:00,14.61,31.05,1.12,188.0,36.0,46.0
2025-03-08,18:00:00,14.61,31.08,1.13,189.0,40.0,48.0
2025-03-08,20:00:00,14.63,31.05,1.12,188.0,41.0,49.0
2025-03-08,22:00:00,14.79,31.13,1.13,188.0,41.0,49.0
2025-03-08,00:00:00,14.72,31.13,1.12,189.0,38.0,46.0
2025-03-09,02:00:00,14.73,31.1,1.12,189.0,41.0,49.0
2025-03-09,04:00:00,14.81,31.1,1.1,189.0,41.0,49.0
2025-03-09,06:00:00,14.85,31.03,1.12,189.0,37.0,45.0
2025-03-09,08:00:00,14.62,31.08,1.12,189.0,40.0,49.0
2025-03-09,10:00:00,14.6,31.05,1.13,188.0,35.0,44.0
2025-03-09,12:00:00,14.56,31.05,1.13,188.0,35.0,44.0
2025-03-09,14:00:00,14.5,31.08,1.12,188.0,36.0,44.0
2025-03-09,16:00:00,14.49,31.03,1.12,187.0,35.0,44.0
2025-03-09,18:00:00,14.48,31.13,1.12,188.0,40.0,48.0
2025-03-09,20:00:00,14.5,31.01,1.12,188.0,36.0,45.0
2025-03-09,22:00:00,14.6,31.03,1.12,188.0,40.0,49.0
2025-03-09,00:00:00,14.61,31.15,1.12,188.0,41.0,49.0
2025-03-10,02:00:00,14.62,31.05,1.13,188.0,41.0,47.0
2025-03-10,04:00:00,14.68,30.96,1.11,188.0,39.0,47.0
2025-03-10,06:00:00,14.64,31.05,1.12,189.0,40.0,48.0
2025-03-10,08:00:00,14.68,31.08,1.13,189.0,39.0,47.0
2025-03-10,10:00:00,14.61,31.05,1.13,188.0,42.0,50.0
2025-03-10,12:00:00,14.61,31.05,1.11,188.0,35.0,43.0
2025-03-10,14:00:00,14.55,31.1,1.12,188.0,35.0,44.0
2025-03-10,16:00:00,14.51,31.13,1.12,188.0,35.0,43.0
2025-03-10,18:00:00,14.51,31.1,1.12,188.0,40.0,48.0
2025-03-10,20:00:00,14.62,31.08,1.12,188.0,40.0,48.0
2025-03-10,22:00:00,14.6,31.18,1.12,188.0,36.0,44.0
2025-03-10,00:00:00,14.59,31.15,1.12,189.0,39.0,48.0
2025-03-11,02:00:00,14.66,31.1,1.12,188.0,34.0,42.0
2025-03-11,04:00:00,14.55,31.15,1.12,188.0,41.0,49.0
2025-03-11,06:00:00,14.54,31.05,1.12,188.0,41.0,49.0
2025-03-11,08:00:00,14.63,30.98,1.12,188.0,42.0,50.0
2025-03-11,10:00:00,14.63,31.08,1.12,188.0,35.0,44.0
2025-03-11,12:00:00,14.61,31.03,1.12,188.0,37.0,45.0
2025-03-11,14:00:00,14.61,30.925,1.12,186.0,37.0,45.0
2025-03-11,16:00:00,14.61,31.15,1.12,187.0,36.0,44.0
2025-03-11,18:00:00,14.58,31.05,1.12,186.0,35.0,44.0
2025-03-11,20:00:00,14.63,31.205000000000002,1.12,186.0,35.0,43.0
2025-03-11,22:00:00,14.62,31.1,1.12,186.0,36.0,44.0
2025-03-11,00:00:00,14.56,31.03,1.12,187.0,37.0,45.0
2025-03-12,02:00:00,14.56,31.01,1.11,186.0,40.0,49.0
2025-03-12,04:00:00,14.63,31.08,1.12,188.0,35.0,43.0
2025-03-12,06:00:00,14.6,31.03,1.12,188.0,40.0,49.0
2025-03-12,08:00:00,14.62,31.13,1.12,188.0,40.0,48.0
2025-03-12,10:00:00,14.58,31.1,1.12,187.0,35.0,44.0
2025-03-12,12:00:00,14.51,31.15,1.12,187.0,37.0,46.0
2025-03-12,14:00:00,14.52,31.08,1.12,187.0,37.0,45.0
2025-03-12,16:00:00,14.46,31.08,1.12,187.0,36.0,44.0
2025-03-12,18:00:00,14.61,31.08,1.12,187.0,36.0,44.0
2025-03-12,20:00:00,14.57,31.05,1.12,187.0,35.0,44.0
2025-03-12,22:00:00,14.58,31.08,1.12,187.0,39.0,48.0
2025-03-12,00:00:00,14.51,31.08,1.12,187.0,34.0,42.0
2025-03-13,02:00:00,14.54,31.15,1.11,187.0,40.0,49.0
2025-03-13,04:00:00,14.5,31.205000000000002,1.11,187.0,35.0,43.0
2025-03-13,06:00:00,14.54,31.05,1.11,182.0,36.0,44.0
2025-03-13,08:00:00,14.6,31.18,1.12,187.0,41.0,49.0
2025-03-13,10:00:00,14.51,31.03,1.12,187.0,36.0,42.0
2025-03-13,12:00:00,14.57,31.05,1.12,187.0,36.0,44.0
2025-03-13,14:00:00,14.44,31.03,1.12,187.0,37.0,46.0
2025-03-13,16:00:00,14.34,31.05,1.1,186.0,35.0,44.0
2025-03-13,18:00:00,14.36,31.2,1.12,185.0,36.0,44.0
2025-03-13,20:00:00,14.41,31.08,1.11,187.0,35.0,43.0
2025-03-13,22:00:00,14.56,31.05,1.12,187.0,35.0,44.0
2025-03-13,00:00:00,14.56,31.05,1.12,187.0,41.0,49.0
2025-03-14,02:00:00,14.52,31.15,1.12,187.0,35.0,44.0
2025-03-14,04:00:00,14.45,31.2,1.12,187.0,41.0,49.0
2025-03-14,06:00:00,14.51,31.05,1.12,188.0,33.0,41.0
2025-03-14,08:00:00,14.57,31.03,1.13,188.0,37.0,45.0
2025-03-14,10:00:00,14.5,31.05,1.12,188.0,35.0,44.0
2025-03-14,12:00:00,14.48,31.1,1.12,187.0,37.0,45.0
2025-03-14,14:00:00,14.44,31.05,1.12,186.0,38.0,46.0
2025-03-14,16:00:00,14.41,31.05,1.11,186.0,40.0,48.0
2025-03-14,18:00:00,14.46,31.15,1.13,187.0,40.0,49.0
2025-03-14,20:00:00,14.5,31.15,1.1,188.0,39.0,47.0
2025-03-14,22:00:00,14.61,31.01,1.12,188.0,37.0,45.0
2025-03-14,00:00:00,14.56,31.05,1.12,188.0,37.0,45.0
2025-03-15,02:00:00,14.56,31.205000000000002,1.11,189.0,38.0,47.0
2025-03-15,04:00:00,14.73,31.08,1.11,189.0,36.0,44.0
2025-03-15,06:00:00,14.74,31.18,1.12,189.0,34.0,41.0
2025-03-15,08:00:00,14.67,31.03,1.13,188.0,35.0,43.0
2025-03-15,10:00:00,14.63,31.03,1.12,188.0,36.0,43.0
2025-03-15,12:00:00,14.63,31.08,1.12,187.0,35.0,43.0
2025-03-15,14:00:00,14.53,31.05,1.11,187.0,41.0,49.0
2025-03-15,16:00:00,14.57,30.98,1.12,187.0,41.0,50.0
2025-03-15,18:00:00,14.58,31.03,1.12,188.0,36.0,45.0
2025-03-15,20:00:00,14.61,31.03,1.12,188.0,41.0,49.0
2025-03-15,22:00:00,14.52,31.08,1.11,188.0,40.0,48.0
2025-03-15,00:00:00,14.6,31.08,1.12,188.0,34.0,41.0
2025-03-16,02:00:00,14.6,31.08,1.12,188.0,32.0,40.0
2025-03-16,04:00:00,14.69,31.08,1.12,189.0,31.0,39.0
2025-03-16,06:00:00,14.69,31.03,1.12,189.0,31.0,39.0
2025-03-16,08:00:00,14.5,30.93,1.12,186.0,33.0,40.0
2025-03-16,10:00:00,14.46,31.05,1.11,185.0,35.0,42.0
2025-03-16,12:00:00,14.36,31.08,1.11,185.0,36.0,42.0
2025-03-16,14:00:00,14.34,31.1,1.1,185.0,35.0,42.0
2025-03-16,16:00:00,14.32,31.08,1.11,184.0,35.0,42.0
2025-03-16,18:00:00,14.34,31.03,1.11,184.0,35.0,42.0
2025-03-16,20:00:00,14.33,31.18,1.1,185.0,34.0,41.0
2025-03-16,22:00:00,14.32,31.1,1.1,185.0,33.0,40.0
2025-03-16,00:00:00,14.35,30.98,1.11,185.0,33.0,40.0
2025-03-17,02:00:00,14.35,31.05,1.11,185.0,41.0,49.0
2025-03-17,04:00:00,14.37,31.1,1.12,185.0,41.0,50.0
2025-03-17,06:00:00,14.38,30.925,1.11,185.0,40.0,48.0
2025-03-17,08:00:00,14.5,31.08,1.11,187.0,39.0,48.0
2025-03-17,10:00:00,14.48,31.101,1.11,186.0,35.0,44.0
2025-03-17,12:00:00,14.49,31.03,1.11,184.0,40.0,48.0
2025-03-17,14:00:00,14.46,31.05,1.11,184.0,35.0,43.0
2025-03-17,16:00:00,14.49,30.98,1.12,184.0,40.0,47.0
2025-03-17,18:00:00,14.35,31.1,1.11,185.0,41.0,49.0
2025-03-17,20:00:00,14.35,31.08,1.1,185.0,39.0,47.0
2025-03-17,22:00:00,14.37,31.1,1.11,186.0,40.0,48.0
2025-03-17,00:00:00,14.28,30.93,1.11,186.0,40.0,49.0
2025-03-18,02:00:00,14.52,31.05,1.11,187.0,40.0,48.0
2025-03-18,04:00:00,14.03,31.05,1.13,188.0,41.0,48.0
2025-03-18,06:00:00,14.43,30.98,1.12,187.0,35.0,43.0
2025-03-18,08:00:00,14.61,31.05,1.12,188.0,38.0,47.0
2025-03-18,10:00:00,14.57,30.96,1.11,188.0,35.0,43.0
2025-03-18,12:00:00,14.41,31.05,1.12,186.0,39.0,47.0
2025-03-18,14:00:00,14.31,31.05,1.12,185.0,41.0,49.0
2025-03-18,16:00:00,14.36,31.08,1.11,185.0,36.0,45.0
2025-03-18,18:00:00,14.34,31.03,1.11,184.0,34.0,42.0
2025-03-18,20:00:00,14.35,31.1,1.1,185.0,36.0,43.0
2025-03-18,22:00:00,14.37,31.01,1.12,186.0,40.0,48.0
2025-03-18,00:00:00,14.52,31.205000000000002,1.12,187.0,33.0,40.0
2025-03-19,02:00:00,14.31,31.13,1.11,187.0,30.0,38.0
2025-03-19,04:00:00,14.56,31.08,1.12,188.0,30.0,38.0
2025-03-19,06:00:00,15.2,31.13,1.11,187.0,30.0,38.0
2025-03-19,08:00:00,14.52,31.01,1.12,188.0,31.0,38.0
2025-03-19,10:00:00,14.51,31.05,1.12,188.0,34.0,41.0
2025-03-19,12:00:00,14.5,31.03,1.11,197.0,36.0,43.0
2025-03-19,14:00:00,14.47,31.03,1.11,185.0,37.0,43.0
2025-03-19,16:00:00,14.45,31.05,1.11,185.0,36.0,43.0
2025-03-19,18:00:00,14.44,31.03,1.1,185.0,34.0,41.0
2025-03-19,20:00:00,14.37,31.1,1.13,186.0,34.0,41.0
2025-03-19,22:00:00,14.5,31.05,1.11,186.0,33.0,40.0
2025-03-19,00:00:00,14.5,31.03,1.11,187.0,32.0,39.0
2025-03-20,02:00:00,14.46,31.05,1.11,187.0,32.0,39.0
2025-03-20,04:00:00,14.36,31.08,1.11,186.0,32.0,39.0
2025-03-20,06:00:00,14.4,31.05,1.11,187.0,31.0,39.0
2025-03-20,08:00:00,14.44,31.08,1.12,186.0,33.0,40.0
2025-03-20,10:00:00,14.4,31.05,1.13,186.0,34.0,42.0
2025-03-20,12:00:00,14.19,30.925,1.11,184.0,37.0,44.0
2025-03-20,14:00:00,14.46,31.08,1.12,187.0,36.0,43.0
2025-03-20,16:00:00,14.45,31.03,1.1,186.0,35.0,42.0
2025-03-20,18:00:00,14.4,31.05,1.11,187.0,35.0,42.0
2025-03-20,20:00:00,14.41,31.05,1.11,187.0,34.0,41.0
2025-03-20,22:00:00,14.6,31.03,1.11,188.0,33.0,40.0
2025-03-20,00:00:00,14.52,31.03,1.09,187.0,33.0,40.0
2025-03-21,02:00:00,14.57,31.05,1.11,188.0,37.0,45.0
2025-03-21,04:00:00,14.49,31.05,1.11,187.0,36.0,45.0
2025-03-21,06:00:00,14.48,31.08,1.11,187.0,41.0,49.0
2025-03-21,08:00:00,14.51,31.08,1.12,187.0,37.0,46.0
2025-03-21,10:00:00,14.56,31.05,1.13,188.0,35.0,44.0
2025-03-21,12:00:00,14.34,31.08,1.11,185.0,36.0,45.0
2025-03-21,14:00:00,14.32,31.08,1.12,186.0,36.0,45.0
2025-03-21,16:00:00,14.21,31.1,1.1,185.0,36.0,44.0
2025-03-21,18:00:00,14.22,30.96,1.11,185.0,35.0,43.0
2025-03-21,20:00:00,14.32,31.03,1.11,185.0,37.0,45.0
2025-03-21,22:00:00,14.3,31.03,1.11,185.0,42.0,50.0
2025-03-21,00:00:00,14.34,31.08,1.09,185.0,38.0,47.0
2025-03-22,02:00:00,14.3,31.05,1.12,184.0,41.0,49.0
2025-03-22,04:00:00,14.29,31.08,1.11,185.0,34.0,42.0
2025-03-22,06:00:00,14.26,30.98,1.11,185.0,37.0,45.0
2025-03-22,08:00:00,14.36,31.08,1.11,186.0,35.0,44.0
2025-03-22,10:00:00,14.37,31.15,1.1,186.0,35.0,44.0
2025-03-22,12:00:00,14.34,31.08,1.11,185.0,35.0,44.0
2025-03-22,14:00:00,14.34,31.13,1.11,185.0,35.0,43.0
2025-03-22,16:00:00,14.38,31.05,1.11,186.0,36.0,45.0
2025-03-22,18:00:00,14.38,31.15,1.12,186.0,38.0,46.0
2025-03-22,20:00:00,14.45,31.18,1.11,186.0,34.0,41.0
2025-03-22,22:00:00,14.4,31.08,1.11,186.0,35.0,42.0
2025-03-22,00:00:00,14.49,31.05,1.11,187.0,41.0,49.0
2025-03-23,02:00:00,14.54,31.1,1.11,187.0,34.0,41.0
2025-03-23,04:00:00,14.51,31.1,1.11,187.0,40.0,48.0
2025-03-23,06:00:00,14.57,31.1,1.13,188.0,41.0,49.0
2025-03-23,08:00:00,14.51,31.205000000000002,1.11,187.0,34.0,42.0
2025-03-23,10:00:00,14.47,31.105,1.12,187.0,40.0,45.0
2025-03-23,12:00:00,14.47,30.98,1.11,185.0,36.0,44.0
2025-03-23,14:00:00,14.42,31.05,1.12,184.0,35.0,44.0
2025-03-23,16:00:00,14.44,31.03,1.11,185.0,36.0,44.0
2025-03-23,18:00:00,14.42,31.08,1.11,185.0,35.0,43.0
2025-03-23,20:00:00,14.39,31.08,1.1,185.0,40.0,48.0
2025-03-23,22:00:00,14.36,31.205000000000002,1.11,186.0,35.0,43.0
2025-03-23,00:00:00,14.41,31.003,1.1,196.0,34.0,42.0
2025-03-24,02:00:00,14.47,31.15,1.12,188.0,39.0,47.0
2025-03-24,04:00:00,14.59,31.1,1.12,187.0,38.0,46.0
2025-03-24,06:00:00,14.46,31.01,1.12,188.0,41.0,48.0
2025-03-24,08:00:00,14.65,31.01,1.12,189.0,42.0,50.0
2025-03-24,10:00:00,14.64,31.1,1.13,188.0,38.0,46.0
2025-03-24,12:00:00,14.43,31.2,1.13,185.0,35.0,44.0
2025-03-24,14:00:00,14.42,31.05,1.11,186.0,35.0,44.0
2025-03-24,16:00:00,14.45,31.05,1.1,185.0,36.0,44.0
2025-03-24,18:00:00,14.56,31.01,1.12,188.0,34.0,42.0
2025-03-24,20:00:00,14.55,31.01,1.12,188.0,40.0,48.0
2025-03-24,22:00:00,14.56,31.08,1.12,188.0,35.0,43.0
2025-03-24,00:00:00,14.53,31.13,1.12,188.0,35.0,43.0
2025-03-25,02:00:00,14.63,30.925,1.12,188.0,34.0,42.0
2025-03-25,04:00:00,14.65,30.925,1.12,188.0,42.0,50.0
2025-03-25,06:00:00,14.62,30.925,1.12,188.0,39.0,47.0
2025-03-25,08:00:00,14.65,30.925,1.12,189.0,39.0,47.0
2025-03-25,10:00:00,14.62,30.925,1.12,187.0,35.0,43.0
2025-03-25,12:00:00,14.62,30.925,1.12,187.0,35.0,43.0
2025-03-25,14:00:00,14.61,30.925,1.12,187.0,37.0,45.0
2025-03-25,16:00:00,14.54,30.925,1.12,187.0,35.0,43.0
2025-03-25,18:00:00,14.54,30.925,1.12,187.0,35.0,43.0
2025-03-25,20:00:00,14.52,30.925,1.12,187.0,39.0,47.0
2025-03-25,22:00:00,14.52,30.925,1.12,186.0,36.0,44.0
2025-03-25,00:00:00,14.51,31.205000000000002,1.12,187.0,34.0,42.0
2025-03-26,02:00:00,14.47,31.05,1.12,188.0,34.0,42.0
2025-03-26,04:00:00,14.48,31.03,1.12,188.0,34.0,42.0
2025-03-26,06:00:00,14.48,31.08,1.12,188.0,40.0,48.0
2025-03-26,08:00:00,14.66,31.05,1.12,188.0,40.0,48.0
2025-03-26,10:00:00,14.63,31.05,1.1,188.0,35.0,43.0
2025-03-26,12:00:00,14.63,31.08,1.12,188.0,35.0,43.0
2025-03-26,14:00:00,14.51,31.08,1.12,187.0,35.0,44.0
2025-03-26,16:00:00,14.42,31.15,1.1,186.0,35.0,44.0
2025-03-26,18:00:00,14.38,31.03,1.12,186.0,35.0,44.0
2025-03-26,20:00:00,14.41,31.01,1.12,188.0,39.0,47.0
2025-03-26,22:00:00,14.45,31.1,1.12,188.0,36.0,44.0
2025-03-26,00:00:00,14.53,31.08,1.12,188.0,34.0,42.0
2025-03-27,02:00:00,14.56,31.08,1.11,188.0,37.0,45.0
2025-03-27,04:00:00,14.53,31.08,1.11,188.0,37.0,45.0
2025-03-27,06:00:00,14.56,31.08,1.11,188.0,37.0,44.0
2025-03-27,08:00:00,14.55,31.05,1.12,188.0,41.0,49.0
2025-03-27,10:00:00,14.45,31.1,1.11,187.0,35.0,43.0
2025-03-27,12:00:00,14.26,31.01,1.11,184.0,36.0,44.0
2025-03-27,14:00:00,14.32,31.04,1.11,185.0,39.0,47.0
2025-03-27,16:00:00,14.27,31.01,1.11,184.0,37.0,45.0
2025-03-27,18:00:00,14.3,31.1,1.11,185.0,39.0,47.0
2025-03-27,20:00:00,14.3,31.1,1.11,185.0,39.0,47.0
2025-03-27,22:00:00,14.27,31.01,1.11,184.0,37.0,45.0
2025-03-27,00:00:00,14.56,31.08,1.11,188.0,37.0,44.0
2025-03-28,02:00:00,14.46,31.03,1.12,185.0,36.0,44.0
2025-03-28,04:00:00,14.46,31.1,1.11,187.0,42.0,50.0
2025-03-28,06:00:00,14.45,31.01,1.11,186.0,35.0,43.0
2025-03-28,08:00:00,14.43,31.03,1.1,186.0,38.0,46.0
2025-03-28,10:00:00,14.34,31.15,1.11,185.0,40.0,48.0
2025-03-28,12:00:00,14.35,31.1,1.11,185.0,40.0,48.0
2025-03-28,14:00:00,14.3,31.08,1.11,184.0,35.0,44.0
2025-03-28,16:00:00,14.33,31.1,1.12,185.0,35.0,44.0
2025-03-28,18:00:00,14.33,31.2,1.1,185.0,38.0,45.0
2025-03-28,20:00:00,14.3,31.05,1.1,185.0,42.0,50.0
2025-03-28,22:00:00,14.34,31.1,1.12,186.0,34.0,41.0
2025-03-28,00:00:00,14.41,31.1,1.11,185.0,40.0,48.0
2025-03-29,02:00:00,14.39,31.08,1.11,185.0,36.0,44.0
2025-03-29,04:00:00,14.4,31.03,1.11,186.0,42.0,50.0
2025-03-29,06:00:00,14.47,31.05,1.11,186.0,41.0,50.0
2025-03-29,08:00:00,14.5,31.03,1.11,187.0,39.0,46.0
2025-03-29,10:00:00,14.44,31.08,1.11,185.0,35.0,44.0
2025-03-29,12:00:00,14.4,31.05,1.11,186.0,42.0,50.0
2025-03-29,14:00:00,14.37,31.08,1.11,184.0,35.0,43.0
2025-03-29,16:00:00,14.26,31.08,1.11,184.0,35.0,43.0
2025-03-29,18:00:00,14.35,31.08,1.12,184.0,36.0,46.0
2025-03-29,20:00:00,14.3,31.05,1.1,184.0,34.0,42.0
2025-03-29,22:00:00,14.31,31.13,1.1,185.0,37.0,45.0
2025-03-29,00:00:00,14.33,31.01,1.11,185.0,37.0,46.0
2025-03-30,02:00:00,14.3,31.205000000000002,1.1,185.0,39.0,47.0
2025-03-30,04:00:00,14.35,31.03,1.12,185.0,41.0,49.0
2025-03-30,06:00:00,14.4,30.98,1.11,186.0,36.0,44.0
2025-03-30,08:00:00,14.29,30.95,1.11,186.0,41.0,49.0
2025-03-30,10:00:00,14.38,31.08,1.11,186.0,37.0,46.0
2025-03-30,12:00:00,14.25,31.15,1.12,186.0,36.0,44.0
2025-03-30,14:00:00,14.09,30.98,1.11,182.0,37.0,45.0
2025-03-30,16:00:00,14.02,31.1,1.09,182.0,46.0,46.0
2025-03-30,18:00:00,14.05,31.08,1.11,182.0,35.0,44.0
2025-03-30,20:00:00,14.02,31.08,1.1,182.0,38.0,46.0
2025-03-30,22:00:00,14.12,31.05,1.11,182.0,36.0,45.0
2025-03-30,00:00:00,14.08,31.13,1.11,181.0,36.0,43.0
2025-03-31,02:00:00,14.15,31.08,1.1,182.0,38.0,46.0
2025-03-31,04:00:00,14.15,31.08,1.09,182.0,41.0,49.0
2025-03-31,06:00:00,14.16,31.08,1.1,183.0,41.0,48.0
2025-03-31,08:00:00,14.04,31.01,1.1,183.0,39.0,48.0
2025-03-31,10:00:00,13.99,31.05,1.11,183.0,40.0,48.0
2025-03-31,12:00:00,13.98,30.98,1.09,182.0,38.0,46.0
2025-03-31,14:00:00,13.98,31.1,1.1,182.0,38.0,46.0
2025-03-31,16:00:00,13.89,31.03,1.09,180.0,37.0,45.0
2025-03-31,18:00:00,13.79,30.98,1.09,178.0,38.0,46.0
2025-03-31,20:00:00,13.86,31.205000000000002,1.09,179.0,41.0,49.0
2025-03-31,22:00:00,13.86,31.13,1.09,180.0,41.0,50.0
2025-03-31,00:00:00,13.98,31.08,1.1,181.0,42.0,50.0
2025-04-01,02:00:00,13.98,31.2,1.1,181.0,35.0,43.0
